Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (sec),Prediction Time (sec)
Logistic Regression,0.8069552874378992,0.6583850931677019,0.5668449197860963,0.6091954022988506,0.8415846443979436,0.039420127868652344,0.0005791187286376953
Decision Tree,0.7409510290986515,0.5125348189415042,0.4919786096256685,0.5020463847203275,0.6609574000878348,0.057747602462768555,0.0009586811065673828
Random Forest,0.7856635911994322,0.6216216216216216,0.4919786096256685,0.5492537313432836,0.8246454312950475,0.8423507213592529,0.03407001495361328
SVM,0.7927608232789212,0.6443661971830986,0.4893048128342246,0.5562310030395137,0.7960500142085821,8.180012941360474,0.3924441337585449
Deep Neural Network,0.7835344215755855,0.6042296072507553,0.5347593582887701,0.5673758865248227,0.8285540830297862,11.140385866165161,0.3737144470214844
